time;Channel_01;Channel_02;Channel_03;Channel_04;Channel_05;Channel_06;Channel_07;Channel_08;Channel_09;Channel_10;Channel_11;Channel_12;Channel_13;Channel_14;Channel_15;Channel_16;Channel_17;Channel_18;Channel_19;Channel_20;Channel_21;Channel_22;Channel_23;Channel_24;empty_spacer;Channel_26;Channel_27;Channel_28;Channel_29;zero_JT;one_JT;two_JT;three_JT;four_JT;five_JT;Channel_36;Channel_37;Channel_38;Channel_39;Channel_40;Channel_41;Channel_42;Channel_43;Channel_44;Channel_45;Channel_46;Channel_47;Channel_48;R_VastLat;R_RectFem;R_VastMed;R_BicepFem;R_SemiT;L_MedGastroc;L_LatQuad;L_LatGastroc;L_GlutMed;L_RectFem;R_MedGastroc;R_RectFem_2;L_SemiT;R_BicepsFem;R_LGastroc;R_VL
1,786;7,610437273979187;-27,49294340610504;-69,2263662815094;-62,298768758773804;1,9874876365065575;-7,625696063041687;0,04196237132418901;0,034332857467234135;0,7515069097280502;-0,14114589430391788;0,32425427343696356;0,12588698882609606;-0,24795904755592346;0,5149920471012592;0,7209888659417629;-0,6675821729004383;0,019073837029282004;-0,24032953660935163;1,1253530159592628;-0,1182573614642024;0,3013657405972481;-0,28610662557184696;0,47684451565146446;-0,36240173503756523;-1,4235904216766357;-1,623941421508789;-1,6572060585021973;-1,6541543006896973;-1,6004425287246704;-1,6332494020462036;-1,6538491249084473;-1,6445411443710327;-0,08506904542446136;-0,13679713010787964;-0,03013657033443451;-0,033798735588788986;-0,02510109171271324;0,049820706248283386;0,10246433317661285;-0,03028916008770466;-0,21171893179416656;0,1294727921485901;-0,08918898552656174;-0,0638590082526207;-0,026169223710894585;-0,04264896735548973;-0,0785076692700386;-0,062333106994628906;-1,1297017335891724;-1,156099796295166;-1,152590274810791;-1,238803744316101;-1,1275653839111328;-1,1503013372421265;-1,158541202545166;-1,243991732597351;-2,060654640197754;-2,114671468734741;-2,1393911838531494;-2,1238269805908203;-2,077134370803833;-2,1181812286376953;-2,1422903537750244;-2,1346609592437744
1,7870000000000001;7,610437273979187;-27,439534664154053;-69,40184831619263;-62,81757950782776;1,6212711110711098;-7,465476542711258;0,12588698882609606;0,04959187936037779;0,7820249535143375;-0,16403442714363337;0,12588698882609606;0,06485090125352144;-0,2327000256627798;0,5378806032240391;0,7286184001713991;-0,5683985538780689;-0,019073719158768654;-0,2327000256627798;0,8888380602002144;-0,10299833957105875;0,27847723104059696;-0,28610662557184696;0,44632647186517715;-0,2632180694490671;-1,4254214763641357;-1,624399185180664;-1,6572060585021973;-1,6547646522521973;-1,6016632318496704;-1,6337071657180786;-1,6546120643615723;-1,6457618474960327;-0,08262760192155838;-0,13710230588912964;-0,030594339594244957;-0,03440909460186958;-0,027237355709075928;0,05043106526136398;0,10383763909339905;-0,0319676510989666;-0,21248188614845276;0,1250476837158203;-0,08934157341718674;-0,06630045175552368;-0,027389945462346077;-0,04432746022939682;-0,0795757994055748;-0,0637064203619957;-1,1312276124954224;-1,158388614654541;-1,153963565826416;-1,239566683769226;-1,1271076202392578;-1,1515220403671265;-1,158388614654541;-1,244296908378601;-2,056229591369629;-2,111009359359741;-2,1367971897125244;-2,1223011016845703;-2,075761079788208;-2,116807699203491;-2,1432058811187744;-2,1338980197906494
1,788;7,724879682064056;-27,294576168060303;-69,56206560134888;-63,336384296417236;1,728084310889244;-7,694362103939056;-0,02670323010534048;-0,03433274105191231;0,6752117071300745;-0,10299833957105875;0,12588698882609606;-0,06485078483819962;-0,19455247092992067;0,5073625594377518;0,8049134165048599;-0,6065460853278637;0,026703346520662308;-0,27847709134221077;1,0490577667951584;-0,3089951351284981;0,20218209829181433;-0,4692148417234421;0,5073625594377518;-0,14114589430391788;-1,4245059490203857;-1,624551773071289;-1,6570534706115723;-1,6552224159240723;-1,6012054681777954;-1,6332494020462036;-1,6540017127990723;-1,6440832614898682;-0,08339055627584457;-0,13786526024341583;-0,0319676510989666;-0,03501945734024048;-0,026474405080080032;0,049820706248283386;0,09819180518388748;-0,028000306338071823;-0,21126115322113037;0,1252002716064453;-0,08796826004981995;-0,0634012371301651;-0,024795912206172943;-0,04295414686203003;-0,07713435590267181;-0,06218051537871361;-1,1315327882766724;-1,157930850982666;-1,152895450592041;-1,238651156425476;-1,1274127960205078;-1,1499961614608765;-1,157473087310791;-1,244144320487976;-2,058518409729004;-2,112535238265991;-2,1360342502593994;-2,1209278106689453;-2,075455904006958;-2,116044759750366;-2,1416800022125244;-2,1335928440093994
1,7890000000000001;7,679102569818497;-27,035170793533325;-69,72228288650513;-63,603419065475464;1,6823071986436844;-7,671473175287247;0,04196237132418901;-0,011444208212196827;0,6294346880167723;-0,10299833957105875;0,17929357709363103;0,026703346520662308;-0,2632180694490671;0,5149920471012592;0,8354315534234047;-0,6752116605639458;0,06485090125352144;-0,32425415702164173;1,0032807476818562;-0,3089951351284981;0,27847723104059696;-0,24032953660935163;0,4997330252081156;-0,3089951351284981;-1,4254214763641357;-1,624399185180664;-1,6572060585021973;-1,6555275917053223;-1,6009002923965454;-1,6340123414993286;-1,6538491249084473;-1,6443884372711182;-0,08293278515338898;-0,13633936643600464;-0,031509879976511;-0,031357292085886;-0,027237355709075928;0,0473792627453804;0,10170137882232666;-0,028000306338071823;-0,21110856533050537;0,1264209896326065;-0,09102007001638412;-0,06523232161998749;-0,026321813464164734;-0,043259330093860626;-0,07698176801204681;-0,06218051537871361;-1,1295491456985474;-1,158693790435791;-1,153810977935791;-1,239261507987976;-1,1278705596923828;-1,1510642766952515;-1,158236026763916;-1,244296908378601;-2,058365821838379;-2,112382650375366;-2,1381704807281494;-2,1210803985595703;-2,076218843460083;-2,116655111312866;-2,1418325901031494;-2,1342031955718994
1,79;7,824063301086426;-27,042800188064575;-69,92828249931335;-64,32059407234192;1,5678646042943;-7,801175117492676;0,019073837029282004;0,011444324627518654;0,7362478412687778;-0,04959176294505596;0,11825747787952423;0,04959187936037779;-0,09536883444525301;0,4997330252081156;0,8583200164139271;-0,6370640825480223;-0,003814697265625;-0,2555885585024953;0,8735790848731995;-0,2021819818764925;0,3089952515438199;-0,2632180694490671;0,46921498142182827;-0,33188366796821356;-1,4246585369110107;-1,624094009399414;-1,6569008827209473;-1,6564431190490723;-1,6010528802871704;-1,6335545778274536;-1,6543068885803223;-1,6449989080429077;-0,08598458766937256;-0,13649195432662964;-0,0316624715924263;-0,03349355608224869;-0,02677958458662033;0,048599984496831894;0,10231173783540726;-0,029221028089523315;-0,21278706192970276;0,1270313560962677;-0,08888380229473114;-0,0630960538983345;-0,024795912206172943;-0,04173342511057854;-0,07591363787651062;-0,061112385243177414;-1,1298543214797974;-1,158388614654541;-1,153810977935791;-1,238498568534851;-1,1284809112548828;-1,1513694524765015;-1,157930850982666;-1,244296908378601;-2,057908058166504;-2,112230062484741;-2,1364920139312744;-2,1203174591064453;-2,074845552444458;-2,116044759750366;-2,1419851779937744;-2,1334402561187744
1,7910000000000001;7,885099947452545;-26,897841691970825;-70,27161121368408;-64,61814045906067;1,5068285167217255;-7,946135848760605;0,1640345435589552;-0,011444208212196827;0,7820249535143375;-0,14114589430391788;0,20981160923838615;-0,003814697265625;-0,14114589430391788;0,4921034909784794;0,7972839288413525;-0,7743952795863152;-0,003814697265625;-0,24032953660935163;0,8735790848731995;-0,2021819818764925;0,28610669542104006;-0,18692297162488103;0,5378806032240391;-0,14114589430391788;-1,4245059490203857;-1,623483657836914;-1,6562905311584473;-1,6561379432678223;-1,6010528802871704;-1,6338597536087036;-1,6538491249084473;-1,6454566717147827;-0,08552681654691696;-0,13771267235279083;-0,02983138896524906;-0,03425650671124458;-0,024948501959443092;0,05027847737073898;0,10093843191862106;-0,031052110716700554;-0,21355001628398895;0,1270313560962677;-0,08918898552656174;-0,0637064203619957;-0,024490730836987495;-0,04173342511057854;-0,07545586675405502;-0,06187533587217331;-1,1312276124954224;-1,159456729888916;-1,154573917388916;-1,239566683769226;-1,1284809112548828;-1,1519798040390015;-1,159151554107666;-1,245059847831726;-2,058518409729004;-2,112535238265991;-2,1364920139312744;-2,1212329864501953;-2,074692964553833;-2,116655111312866;-2,1418325901031494;-2,1334402561187744
1,792;7,953765243291855;-26,791027188301086;-70,41656970977783;-64,87754583358765;1,6136415302753448;-8,083466440439224;0,09536894503980875;0,10299845598638058;0,789654441177845;-0,14877539360895753;0,057221390306949615;-0,03433274105191231;-0,16403442714363337;0,4539559595286846;0,8430610410869122;-0,5760280415415764;0,003814813680946827;-0,29373608995229006;0,8659495040774345;-0,20981149282306433;0,34714280627667904;-0,24032953660935163;0,47684451565146446;-0,3089951351284981;-1,4226748943328857;-1,622873306274414;-1,6567482948303223;-1,6558327674865723;-1,6012054681777954;-1,6335545778274536;-1,6547646522521973;-1,6445411443710327;-0,08415350317955017;-0,13450828194618225;-0,030441749840974808;-0,034103915095329285;-0,027695126831531525;0,048447392880916595;0,10322728008031845;-0,0322728306055069;-0,21309223771095276;0,12428472936153412;-0,08903639018535614;-0,06523232161998749;-0,026474405080080032;-0,04295414686203003;-0,07652399688959122;-0,06218051537871361;-1,1309224367141724;-1,1602197885513306;-1,155489444732666;-1,240177035331726;-1,1295491456985474;-1,152742862701416;-1,159304141998291;-1,245059847831726;-2,058976173400879;-2,112535238265991;-2,1380178928375244;-2,1213855743408203;-2,076524019241333;-2,116655111312866;-2,1422903537750244;-2,1345083713531494
1,793;8,136872947216034;-26,745250821113586;-70,49286365509033;-65,6710147857666;1,57549399882555;-8,106355369091034;0,13351649977266788;0,14114599907770753;0,7591363973915577;-0,22507051471620798;0,14877552166581154;-0,06485078483819962;-0,27847709134221077;0,5378806032240391;0,8125429973006248;-0,6675821729004383;-0,011444208212196827;-0,37766071036458015;0,8278019726276398;-0,2632180694490671;0,31662476249039173;-0,3166246460750699;0,46921498142182827;-0,20981149282306433;-1,4251163005828857;-1,624246597290039;-1,6561379432678223;-1,6564431190490723;-1,6021209955215454;-1,6349278688430786;-1,6549172401428223;-1,6463721990585327;-0,08140688389539719;-0,13725490868091583;-0,031357292085886;-0,03593499958515167;-0,02555886283516884;0,05134660750627518;0,10353246331214905;-0,02861066721379757;-0,21293964982032776;0,1264209896326065;-0,08979934453964233;-0,06492713838815689;-0,02677958458662033;-0,04386968910694122;-0,07820248603820801;-0,0627908781170845;-1,1287860870361328;-1,158083438873291;-1,154726505279541;-1,240939974784851;-1,1292439699172974;-1,152285099029541;-1,159456729888916;-1,245212435722351;-2,061417579650879;-2,1174182891845703;-2,1418325901031494;-2,1268787384033203;-2,078202486038208;-2,1187915802001953;-2,1438162326812744;-2,1348135471343994
1,794;8,014801144599915;-26,40955150127411;-70,73700428009033;-65,84649682044983;1,415274292230606;-8,129243552684784;0,08773943991400301;0,034332857467234135;0,6141756661236286;-0,15640491619706154;0,14877552166581154;-0,04959176294505596;-0,29373608995229006;0,43869693763554096;0,7820249535143375;-0,5989165510982275;0,026703346520662308;-0,2555885585024953;0,9956512600183487;-0,22507051471620798;0,2555886749178171;-0,36240173503756523;0,37766085006296635;-0,3471426898613572;-1,4243533611297607;-1,624246597290039;-1,6567482948303223;-1,6555275917053223;-1,6022735834121704;-1,6344701051712036;-1,6543068885803223;-1,6448463201522827;-0,08506904542446136;-0,13786526024341583;-0,030594339594244957;-0,03318837285041809;-0,026321813464164734;0,05058365687727928;0,10139620304107666;-0,030441749840974808;-0,20927748084068298;0,1264209896326065;-0,08781567215919495;-0,06858930736780167;-0,02876325696706772;-0,04585336148738861;-0,0792706161737442;-0,0626382827758789;-1,1297017335891724;-1,158236026763916;-1,153658390045166;-1,239414095878601;-1,1283283233642578;-1,1515220403671265;-1,159304141998291;-1,245670199394226;-2,059433937072754;-2,113755941390991;-2,1390860080718994;-2,1229114532470703;-2,077897310256958;-2,1197071075439453;-2,1441214084625244;-2,1361868381500244
1,795;8,136872947216034;-26,40955150127411;-70,86670398712158;-66,2584900856018;1,331349741667509;-8,129243552684784;0,034332857467234135;0,04196237132418901;0,6828412879258394;-0,05722127389162779;0,18692307639867067;-0,11062785051763058;-0,27084758039563894;0,5149920471012592;0,8812085725367069;-0,5683985538780689;0,07248041220009327;-0,30136562418192625;1,0337987914681435;-0,3089951351284981;0,3013657405972481;-0,4310673102736473;0,43869693763554096;-0,2632180694490671;-1,4254214763641357;-1,624399185180664;-1,6562905311584473;-1,6567482948303223;-1,6022735834121704;-1,6338597536087036;-1,6544594764709473;-1,6466773748397827;-0,08415350317955017;-0,13801784813404083;-0,0321202427148819;-0,03501945734024048;-0,026474405080080032;0,05027847737073898;0,10185396671295166;-0,0319676510989666;-0,20851454138755798;0,1280994862318039;-0,09193560481071472;-0,06630045175552368;-0,02845807746052742;-0,045243002474308014;-0,0795757994055748;-0,06507972627878189;-1,1321431398391724;-1,159304141998291;-1,155184268951416;-1,240939974784851;-1,1287860870361328;-1,152742862701416;-1,159304141998291;-1,245212435722351;-2,058823585510254;-2,113145589828491;-2,1384756565093994;-2,1241321563720703;-2,076981782913208;-2,1178760528564453;-2,1427481174468994;-2,1358816623687744
